GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,season_id,season_type
Players,293,Charles Smith,Charles,1610612759,SAS,31.0,3,2,1,0.667,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,2.7,334,295,15,57,300,223,235,154,260,1,1,1,360,9,1,162,19,120,1996-97,Regular%20Season
Players,369,Charlie Ward,Charlie,1610612752,NYK,26.0,31,23,8,0.742,2.9,0.0,0.0,0.0,0.1,1.4,0.7,0.5,1.4,0.0,0.0,0.3,0.0,1.4,105,26,185,29,200,223,235,154,256,358,148,280,256,194,205,147,19,265,1996-97,Regular%20Season
Players,685,Cherokee Parks,Cherokee,1610612750,MIN,24.0,3,2,1,0.667,1.4,0.7,0.0,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,2.1,334,295,15,57,323,3,235,154,54,1,132,1,339,194,1,1,19,202,1996-97,Regular%20Season
Players,713,Chris Carr,Chris,1610612750,MIN,23.0,9,4,5,0.444,1.9,0.6,0.2,0.2,0.4,0.0,0.8,0.0,0.9,0.0,0.0,0.3,0.0,1.5,264,258,122,220,286,12,107,28,111,1,173,1,327,194,1,162,19,251,1996-97,Regular%20Season
Players,164,Chris Childs,Chris,1610612752,NYK,29.0,33,21,12,0.636,3.3,0.3,0.2,0.0,0.2,1.3,1.1,0.2,1.3,0.0,0.1,0.2,0.0,2.9,89,33,239,87,152,50,155,154,216,339,269,143,278,194,294,79,19,100,1996-97,Regular%20Season
Players,201,Chris Dudley,Chris,1610612757,POR,32.0,35,17,18,0.486,2.4,0.0,0.0,0.0,0.0,0.5,0.7,0.2,1.4,0.0,0.0,0.5,0.0,0.9,71,83,323,198,247,223,235,154,260,131,129,152,249,182,1,294,19,307,1996-97,Regular%20Season
Players,423,Chris Gatling,Chris,1610612751,NJN,29.0,21,11,10,0.524,3.5,0.5,0.2,0.1,1.3,0.6,1.0,0.9,2.1,0.1,0.1,0.3,0.0,4.5,177,147,209,156,123,15,126,104,11,136,261,372,151,90,340,137,19,28,1996-97,Regular%20Season
Players,1137,Chris Jent,Chris,1610612752,NYK,27.0,1,0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373,364,15,364,383,223,235,154,260,1,1,1,360,194,1,1,19,362,1996-97,Regular%20Season
Players,168,Chris Mills,Chris,1610612739,CLE,27.0,43,18,25,0.419,4.0,0.1,0.1,0.0,0.3,1.3,1.1,0.3,2.4,0.1,0.2,0.6,0.0,2.6,17,74,373,238,55,188,164,150,158,338,293,210,100,113,367,324,19,122,1996-97,Regular%20Season
Players,356,Chris Morris,Chris,1610612762,UTA,31.0,13,9,4,0.692,1.2,0.0,0.0,0.0,0.0,0.5,0.3,0.5,1.1,0.0,0.0,0.5,0.0,0.3,226,175,100,51,332,223,235,154,260,132,75,299,294,194,1,311,19,349,1996-97,Regular%20Season
Players,904,Chris Mullin,Chris,1610612744,GSW,33.0,27,9,18,0.333,4.7,0.1,0.1,0.0,0.1,1.9,0.9,0.9,3.5,0.0,0.0,0.4,0.0,2.1,138,175,323,288,12,153,184,154,237,386,202,376,12,194,215,195,19,193,1996-97,Regular%20Season
Players,997,Chris Robinson,Chris,1610612763,VAN,23.0,7,2,5,0.286,2.2,0.0,0.0,0.0,0.0,1.4,0.6,0.0,1.7,0.0,0.0,0.6,0.0,0.9,283,295,122,312,261,223,235,154,260,359,117,1,216,194,1,329,19,310,1996-97,Regular%20Season
Players,185,Chris Webber,Chris,1610612764,WAS,24.0,36,17,19,0.472,4.3,0.2,0.4,0.2,1.5,1.6,1.2,0.6,2.3,0.4,0.1,0.8,0.0,5.8,61,83,333,205,28,124,18,46,8,376,313,337,123,5,321,377,19,7,1996-97,Regular%20Season
Players,43,Chris Whitney,Chris,1610612764,WAS,25.0,22,11,11,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.2,0.0,0.9,170,147,225,166,348,223,235,154,260,1,104,143,344,155,1,79,19,314,1996-97,Regular%20Season
Players,363,Christian Laettner,Christian,1610612737,ATL,27.0,38,22,16,0.579,3.9,0.1,0.4,0.1,0.6,0.8,1.4,0.3,2.5,0.2,0.0,0.6,0.0,3.3,45,28,298,122,64,160,37,142,75,196,340,220,85,54,193,331,19,79,1996-97,Regular%20Season
Players,359,Chucky Brown,Chucky,1610612749,MIL,29.0,13,6,7,0.462,1.8,0.0,0.2,0.0,0.2,0.5,0.8,0.0,0.9,0.1,0.0,0.4,0.0,0.8,226,216,168,209,294,223,152,154,233,132,170,1,324,102,1,209,19,315,1996-97,Regular%20Season
Players,221,Clar. Weatherspoon,Clar.,1610612755,PHI,26.0,33,12,21,0.364,3.5,0.1,0.1,0.1,0.4,1.1,1.5,0.8,3.0,0.0,0.1,0.2,0.0,1.8,89,131,348,273,116,163,221,131,119,287,356,358,28,179,294,110,19,218,1996-97,Regular%20Season
